support,itemsets
0.0481,"frozenset({'Teh Kotak', 'Kapal Api'})"
0.0449,"frozenset({'Teh Kotak', 'Lifebuoy'})"
0.045,"frozenset({'Teh Kotak', 'Djarum'})"
0.0109,"frozenset({'Teh Kotak', 'Taro', 'Big Babol'})"
0.0111,"frozenset({'Teh Kotak', 'Taro', 'Kapal Api'})"
0.0116,"frozenset({'Good Day', 'Teh Kotak', 'Taro'})"
0.0109,"frozenset({'Teh Kotak', 'Molto', 'Taro'})"
0.0108,"frozenset({'Bimoli', 'Teh Kotak', 'Molto'})"
0.0103,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Molto'})"
0.0104,"frozenset({'Teh Kotak', 'Momogi', 'Molto'})"
0.0101,"frozenset({'Teh Kotak', 'Molto', 'Big Babol'})"
0.0107,"frozenset({'Teh Kotak', 'Molto', 'Roma Kelapa'})"
0.0124,"frozenset({'Teh Kotak', 'Molto', 'Good Day'})"
0.0108,"frozenset({'Teh Kotak', 'Lifebuoy', 'Molto'})"
0.0103,"frozenset({'Teh Kotak', 'Molto', 'Kapal Api'})"
0.0116,"frozenset({'Teh Kotak', 'Good Day', 'Big Babol'})"
0.0115,"frozenset({'Teh Kotak', 'Big Babol', 'Kapal Api'})"
0.0127,"frozenset({'Teh Kotak', 'Momogi', 'Big Babol'})"
0.0116,"frozenset({'Teh Kotak', 'Momogi', 'Good Day'})"
0.0111,"frozenset({'Aqua', 'Momogi', 'Teh Kotak'})"
0.011,"frozenset({'Aqua', 'Teh Kotak', 'Big Babol'})"
0.0105,"frozenset({'Aqua', 'Teh Kotak', 'Taro'})"
0.01,"frozenset({'Good Day', 'Aqua', 'Teh Kotak'})"
0.0108,"frozenset({'Aqua', 'Teh Kotak', 'Kapal Api'})"
0.0115,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Taro'})"
0.0115,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Big Babol'})"
0.0109,"frozenset({'Teh Kotak', 'Momogi', 'Sun Light Jeruk Nipis'})"
0.0108,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Yupi'})"
0.011,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Sun Light Jeruk Nipis'})"
0.011,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Kapal Api'})"
0.0109,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Good Day'})"
0.0113,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Big Babol'})"
0.0103,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Taro'})"
0.0102,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Momogi'})"
0.0114,"frozenset({'Bimoli', 'Teh Kotak', 'Indomie Goreng'})"
0.0109,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Beras'})"
0.0109,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Good Day'})"
0.01,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Indomie Goreng'})"
0.01,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Yupi'})"
0.0112,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Lifebuoy'})"
0.0103,"frozenset({'Aqua', 'Teh Kotak', 'Torabika'})"
0.0101,"frozenset({'Teh Kotak', 'Taro', 'Torabika'})"
0.01,"frozenset({'Teh Kotak', 'Torabika', 'Big Babol'})"
0.011,"frozenset({'Teh Kotak', 'Torabika', 'Kapal Api'})"
0.011,"frozenset({'Good Day', 'Teh Kotak', 'Torabika'})"
0.0112,"frozenset({'Bimoli', 'Teh Kotak', 'Torabika'})"
0.0112,"frozenset({'Teh Kotak', 'Momogi', 'Biskuat'})"
0.0105,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Biskuat'})"
0.0104,"frozenset({'Teh Kotak', 'Biskuat', 'Big Babol'})"
0.0101,"frozenset({'Aqua', 'Biskuat', 'Teh Kotak'})"
0.0101,"frozenset({'Teh Kotak', 'Biskuat', 'Yupi'})"
0.0114,"frozenset({'Teh Kotak', 'Beras', 'Biskuat'})"
0.0101,"frozenset({'Teh Kotak', 'Biskuat', 'Kapal Api'})"
0.01,"frozenset({'Teh Kotak', 'Biskuat', 'Indomie Kari Ayam'})"
0.0103,"frozenset({'Teh Kotak', 'Big Babol', 'Nabati Keju'})"
0.0101,"frozenset({'Teh Kotak', 'Indomie Kari Ayam', 'Nabati Keju'})"
0.011,"frozenset({'Kapal Api', 'Teh Kotak', 'Nabati Keju'})"
0.011,"frozenset({'Teh Kotak', 'Mie Gemez', 'Nabati Keju'})"
0.0121,"frozenset({'Teh Kotak', 'Good Day', 'Kapal Api'})"
0.0107,"frozenset({'Teh Kotak', 'Momogi', 'Roma Kelapa'})"
0.0107,"frozenset({'Good Day', 'Teh Kotak', 'Roma Kelapa'})"
0.0101,"frozenset({'Aqua', 'Roma Kelapa', 'Teh Kotak'})"
0.0105,"frozenset({'Teh Kotak', 'Roma Kelapa', 'Kapal Api'})"
0.0115,"frozenset({'Teh Kotak', 'Djarum', 'Roma Kelapa'})"
0.0108,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Roma Kelapa'})"
0.0114,"frozenset({'Teh Kotak', 'Roma Kelapa', 'Yupi'})"
0.01,"frozenset({'Teh Kotak', 'Roma Kelapa', 'Taro'})"
0.0113,"frozenset({'Kwaci', 'Teh Kotak', 'Momogi'})"
0.0113,"frozenset({'Kwaci', 'Teh Kotak', 'Big Babol'})"
0.0105,"frozenset({'Kwaci', 'Teh Kotak', 'Good Day'})"
0.0108,"frozenset({'Kwaci', 'Teh Kotak', 'Sun Light Jeruk Nipis'})"
0.01,"frozenset({'Kwaci', 'Teh Kotak', 'Pocari Sweat'})"
0.01,"frozenset({'Kwaci', 'Teh Kotak', 'Kapal Api'})"
0.0107,"frozenset({'Bimoli', 'Teh Kotak', 'Yupi'})"
0.0114,"frozenset({'Bimoli', 'Teh Kotak', 'Big Babol'})"
0.0108,"frozenset({'Bimoli', 'Teh Kotak', 'Momogi'})"
0.0127,"frozenset({'Bimoli', 'Teh Kotak', 'Good Day'})"
0.0102,"frozenset({'Bimoli', 'Teh Kotak', 'Djarum'})"
0.0107,"frozenset({'Bimoli', 'Teh Kotak', 'Sun Light Jeruk Nipis'})"
0.0103,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Mie Gemez'})"
0.0108,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Mie Gemez'})"
0.0103,"frozenset({'Teh Kotak', 'Beras', 'Mie Gemez'})"
0.0117,"frozenset({'Teh Kotak', 'Mie Gemez', 'Big Babol'})"
0.0101,"frozenset({'Teh Kotak', 'Momogi', 'Mie Gemez'})"
0.0102,"frozenset({'Teh Kotak', 'Sun Light Jeruk Nipis', 'Mie Gemez'})"
0.01,"frozenset({'Teh Kotak', 'Torabika', 'Mie Gemez'})"
0.0107,"frozenset({'Teh Kotak', 'Lifebuoy', 'Mie Gemez'})"
0.0111,"frozenset({'Teh Kotak', 'Beras', 'Good Day'})"
0.0108,"frozenset({'Kwaci', 'Teh Kotak', 'Beras'})"
0.0101,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Beras'})"
0.0101,"frozenset({'Teh Kotak', 'Beras', 'Taro'})"
0.011,"frozenset({'Teh Kotak', 'Beras', 'Big Babol'})"
0.0118,"frozenset({'Teh Kotak', 'Beras', 'Kapal Api'})"
0.0102,"frozenset({'Teh Kotak', 'Beras', 'Sun Light Jeruk Nipis'})"
0.0106,"frozenset({'Teh Kotak', 'Beras', 'Djarum'})"
0.0113,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Taro'})"
0.0109,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Momogi'})"
0.0104,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Big Babol'})"
0.0102,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Yupi'})"
0.0131,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Good Day'})"
0.0118,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Kapal Api'})"
0.011,"frozenset({'Aqua', 'Teh Kotak', 'Yupi'})"
0.0107,"frozenset({'Yupi', 'Teh Kotak', 'Kapal Api'})"
0.0103,"frozenset({'Teh Kotak', 'Good Day', 'Yupi'})"
0.0103,"frozenset({'Yupi', 'Teh Kotak', 'Big Babol'})"
0.0107,"frozenset({'Teh Kotak', 'Momogi', 'Yupi'})"
0.0109,"frozenset({'Teh Kotak', 'Taro', 'Yupi'})"
0.0109,"frozenset({'Teh Kotak', 'Roma Kelapa', 'Gula Pasir'})"
0.0101,"frozenset({'Kwaci', 'Teh Kotak', 'Gula Pasir'})"
0.0113,"frozenset({'Teh Kotak', 'Big Babol', 'Gula Pasir'})"
0.0105,"frozenset({'Teh Kotak', 'Molto', 'Gula Pasir'})"
0.011,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Gula Pasir'})"
0.01,"frozenset({'Yupi', 'Teh Kotak', 'Gula Pasir'})"
0.0117,"frozenset({'Teh Kotak', 'Good Day', 'Gula Pasir'})"
0.0107,"frozenset({'Kapal Api', 'Teh Kotak', 'Gula Pasir'})"
0.0106,"frozenset({'Teh Kotak', 'Taro', 'Gula Pasir'})"
0.01,"frozenset({'Teh Kotak', 'Indomie Kari Ayam', 'Gula Pasir'})"
0.01,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Indomie Kari Ayam'})"
0.0109,"frozenset({'Teh Kotak', 'Indomie Kari Ayam', 'Kapal Api'})"
0.0102,"frozenset({'Teh Kotak', 'Indomie Kari Ayam', 'Big Babol'})"
0.0109,"frozenset({'Torabika', 'Teh Kotak', 'Indomie Kari Ayam'})"
0.0104,"frozenset({'Teh Kotak', 'Lifebuoy', 'Indomie Kari Ayam'})"
0.0101,"frozenset({'Teh Kotak', 'Indomie Goreng', 'Indomie Kari Ayam'})"
0.0106,"frozenset({'Aqua', 'Teh Kotak', 'Indomie Kari Ayam'})"
0.0111,"frozenset({'Teh Kotak', 'Lifebuoy', 'Kapal Api'})"
0.0106,"frozenset({'Teh Kotak', 'Lifebuoy', 'Sun Light Jeruk Nipis'})"
0.0101,"frozenset({'Teh Kotak', 'Lifebuoy', 'Good Day'})"
0.01,"frozenset({'Pocari Sweat', 'Teh Kotak', 'Lifebuoy'})"
0.0101,"frozenset({'Teh Kotak', 'Djarum', 'Lifebuoy'})"
0.0113,"frozenset({'Teh Kotak', 'Lifebuoy', 'Big Babol'})"
0.0119,"frozenset({'Teh Kotak', 'Djarum', 'Kapal Api'})"
0.0107,"frozenset({'Teh Kotak', 'Djarum', 'Big Babol'})"
0.0105,"frozenset({'Teh Kotak', 'Djarum', 'Sun Light Jeruk Nipis'})"
0.0111,"frozenset({'Teh Kotak', 'Djarum', 'Good Day'})"
0.0119,"frozenset({'Teh Kotak', 'Djarum', 'Yupi'})"
0.0118,"frozenset({'Aqua', 'Djarum', 'Teh Kotak'})"
0.0101,"frozenset({'Teh Kotak', 'Djarum', 'Momogi'})"
0.0102,"frozenset({'Teh Kotak', 'Djarum', 'Taro'})"
0.0456,"frozenset({'Beng Beng', 'Teh Kotak'})"
0.0434,"frozenset({'Beng Beng', 'Molto'})"
0.0423,"frozenset({'Beng Beng', 'Taro'})"
0.0467,"frozenset({'Beng Beng', 'Torabika'})"
0.0463,"frozenset({'Beng Beng', 'Indomie Goreng'})"
0.0463,"frozenset({'Beng Beng', 'Pocari Sweat'})"
0.045,"frozenset({'Beng Beng', 'Lifebuoy'})"
0.0431,"frozenset({'Beng Beng', 'Pantene'})"
0.0424,"frozenset({'Beng Beng', 'Tango'})"
0.0422,"frozenset({'Beng Beng', 'Bimoli'})"
0.0449,"frozenset({'Beng Beng', 'Kwaci'})"
0.0444,"frozenset({'Beng Beng', 'Beras'})"
0.0442,"frozenset({'Beng Beng', 'Good Day'})"
0.044,"frozenset({'Beng Beng', 'Sukro'})"
0.0435,"frozenset({'Beng Beng', 'Roma Kelapa'})"
0.0438,"frozenset({'Beng Beng', 'Big Babol'})"
0.0435,"frozenset({'Beng Beng', 'Aqua'})"
0.0436,"frozenset({'Beng Beng', 'Kapal Api'})"
0.041,"frozenset({'Beng Beng', 'Sun Light Jeruk Nipis'})"
0.0456,"frozenset({'Beng Beng', 'Momogi'})"
0.0447,"frozenset({'Beng Beng', 'Djarum'})"
0.0421,"frozenset({'Beng Beng', 'Mie Gemez'})"
0.0477,"frozenset({'Beng Beng', 'Biskuat'})"
0.0444,"frozenset({'Beng Beng', 'Yupi'})"
0.043,"frozenset({'Beng Beng', 'Nabati Keju'})"
0.0472,"frozenset({'Beng Beng', 'Gula Pasir'})"
0.0439,"frozenset({'Beng Beng', 'Indomie Kari Ayam'})"
0.0106,"frozenset({'Beng Beng', 'Teh Kotak', 'Indomie Goreng'})"
0.0106,"frozenset({'Beng Beng', 'Teh Kotak', 'Biskuat'})"
0.0106,"frozenset({'Beng Beng', 'Teh Kotak', 'Gula Pasir'})"
0.0102,"frozenset({'Beng Beng', 'Teh Kotak', 'Momogi'})"
0.0107,"frozenset({'Beng Beng', 'Molto', 'Good Day'})"
0.01,"frozenset({'Beng Beng', 'Molto', 'Roma Kelapa'})"
0.0101,"frozenset({'Beng Beng', 'Molto', 'Big Babol'})"
0.0107,"frozenset({'Beng Beng', 'Molto', 'Indomie Goreng'})"
0.0104,"frozenset({'Beng Beng', 'Molto', 'Yupi'})"
0.011,"frozenset({'Beng Beng', 'Molto', 'Gula Pasir'})"
0.0101,"frozenset({'Beng Beng', 'Molto', 'Biskuat'})"
0.0104,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Molto'})"
0.0104,"frozenset({'Beng Beng', 'Molto', 'Pocari Sweat'})"
0.0108,"frozenset({'Beng Beng', 'Torabika', 'Molto'})"
0.0103,"frozenset({'Beng Beng', 'Molto', 'Lifebuoy'})"
0.0108,"frozenset({'Beng Beng', 'Molto', 'Momogi'})"
0.0107,"frozenset({'Beng Beng', 'Teh Kotak', 'Taro'})"
0.01,"frozenset({'Beng Beng', 'Indomie Goreng', 'Taro'})"
0.0101,"frozenset({'Good Day', 'Beng Beng', 'Taro'})"
0.0101,"frozenset({'Beng Beng', 'Djarum', 'Taro'})"
0.0106,"frozenset({'Beng Beng', 'Biskuat', 'Taro'})"
0.0109,"frozenset({'Beng Beng', 'Aqua', 'Taro'})"
0.0105,"frozenset({'Beng Beng', 'Sukro', 'Taro'})"
0.0107,"frozenset({'Beng Beng', 'Torabika', 'Biskuat'})"
0.0109,"frozenset({'Beng Beng', 'Torabika', 'Gula Pasir'})"
0.0105,"frozenset({'Beng Beng', 'Torabika', 'Indomie Goreng'})"
0.0113,"frozenset({'Beng Beng', 'Indomie Goreng', 'Gula Pasir'})"
0.0122,"frozenset({'Beng Beng', 'Indomie Goreng', 'Biskuat'})"
0.0117,"frozenset({'Beng Beng', 'Indomie Goreng', 'Pocari Sweat'})"
0.0109,"frozenset({'Beng Beng', 'Torabika', 'Pocari Sweat'})"
0.0106,"frozenset({'Beng Beng', 'Pocari Sweat', 'Gula Pasir'})"
0.011,"frozenset({'Beng Beng', 'Torabika', 'Lifebuoy'})"
0.0104,"frozenset({'Beng Beng', 'Indomie Goreng', 'Lifebuoy'})"
0.0115,"frozenset({'Beng Beng', 'Lifebuoy', 'Biskuat'})"
0.0104,"frozenset({'Beng Beng', 'Teh Kotak', 'Lifebuoy'})"
0.0106,"frozenset({'Beng Beng', 'Lifebuoy', 'Gula Pasir'})"
0.0126,"frozenset({'Beng Beng', 'Pantene', 'Pocari Sweat'})"
0.0113,"frozenset({'Beng Beng', 'Pantene', 'Beras'})"
0.0111,"frozenset({'Beng Beng', 'Pantene', 'Sukro'})"
0.0108,"frozenset({'Beng Beng', 'Pantene', 'Kwaci'})"
0.0101,"frozenset({'Beng Beng', 'Pantene', 'Yupi'})"
0.0109,"frozenset({'Beng Beng', 'Pantene', 'Biskuat'})"
0.0107,"frozenset({'Beng Beng', 'Pantene', 'Gula Pasir'})"
0.0102,"frozenset({'Beng Beng', 'Pantene', 'Tango'})"
0.01,"frozenset({'Beng Beng', 'Lifebuoy', 'Tango'})"
0.01,"frozenset({'Beng Beng', 'Indomie Goreng', 'Tango'})"
0.0106,"frozenset({'Beng Beng', 'Biskuat', 'Tango'})"
0.01,"frozenset({'Beng Beng', 'Tango', 'Big Babol'})"
0.0103,"frozenset({'Beng Beng', 'Torabika', 'Bimoli'})"
0.0102,"frozenset({'Beng Beng', 'Bimoli', 'Pocari Sweat'})"
0.0101,"frozenset({'Beng Beng', 'Bimoli', 'Indomie Goreng'})"
0.0106,"frozenset({'Beng Beng', 'Bimoli', 'Nabati Keju'})"
0.0101,"frozenset({'Beng Beng', 'Bimoli', 'Roma Kelapa'})"
0.0101,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Bimoli'})"
0.0101,"frozenset({'Beng Beng', 'Bimoli', 'Good Day'})"
0.012,"frozenset({'Beng Beng', 'Momogi', 'Kwaci'})"
0.0112,"frozenset({'Beng Beng', 'Teh Kotak', 'Kwaci'})"
0.011,"frozenset({'Beng Beng', 'Kwaci', 'Gula Pasir'})"
0.0103,"frozenset({'Beng Beng', 'Lifebuoy', 'Kwaci'})"
0.0111,"frozenset({'Beng Beng', 'Beras', 'Kwaci'})"
0.0115,"frozenset({'Beng Beng', 'Indomie Goreng', 'Beras'})"
0.0111,"frozenset({'Beng Beng', 'Beras', 'Biskuat'})"
0.0106,"frozenset({'Beng Beng', 'Torabika', 'Beras'})"
0.0112,"frozenset({'Beng Beng', 'Beras', 'Gula Pasir'})"
0.0101,"frozenset({'Beng Beng', 'Good Day', 'Kwaci'})"
0.0112,"frozenset({'Beng Beng', 'Momogi', 'Good Day'})"
0.0107,"frozenset({'Beng Beng', 'Good Day', 'Yupi'})"
0.0106,"frozenset({'Beng Beng', 'Biskuat', 'Good Day'})"
0.0125,"frozenset({'Beng Beng', 'Pocari Sweat', 'Good Day'})"
0.0109,"frozenset({'Beng Beng', 'Indomie Goreng', 'Good Day'})"
0.0108,"frozenset({'Beng Beng', 'Good Day', 'Gula Pasir'})"
0.011,"frozenset({'Beng Beng', 'Sukro', 'Beras'})"
0.0101,"frozenset({'Beng Beng', 'Sukro', 'Good Day'})"
0.01,"frozenset({'Beng Beng', 'Sukro', 'Kwaci'})"
0.01,"frozenset({'Beng Beng', 'Teh Kotak', 'Sukro'})"
0.0108,"frozenset({'Beng Beng', 'Sukro', 'Gula Pasir'})"
0.0105,"frozenset({'Beng Beng', 'Sukro', 'Indomie Goreng'})"
0.01,"frozenset({'Beng Beng', 'Sukro', 'Biskuat'})"
0.01,"frozenset({'Beng Beng', 'Sukro', 'Momogi'})"
0.01,"frozenset({'Beng Beng', 'Sukro', 'Roma Kelapa'})"
0.01,"frozenset({'Beng Beng', 'Momogi', 'Roma Kelapa'})"
0.0104,"frozenset({'Beng Beng', 'Torabika', 'Roma Kelapa'})"
0.0108,"frozenset({'Beng Beng', 'Lifebuoy', 'Roma Kelapa'})"
0.0116,"frozenset({'Beng Beng', 'Biskuat', 'Roma Kelapa'})"
0.0105,"frozenset({'Beng Beng', 'Teh Kotak', 'Roma Kelapa'})"
0.0103,"frozenset({'Beng Beng', 'Pocari Sweat', 'Roma Kelapa'})"
0.0103,"frozenset({'Beng Beng', 'Teh Kotak', 'Big Babol'})"
0.0101,"frozenset({'Beng Beng', 'Indomie Goreng', 'Big Babol'})"
0.0118,"frozenset({'Beng Beng', 'Good Day', 'Big Babol'})"
0.01,"frozenset({'Beng Beng', 'Djarum', 'Big Babol'})"
0.0109,"frozenset({'Beng Beng', 'Big Babol', 'Gula Pasir'})"
0.01,"frozenset({'Beng Beng', 'Biskuat', 'Big Babol'})"
0.0111,"frozenset({'Beng Beng', 'Momogi', 'Big Babol'})"
0.0104,"frozenset({'Beng Beng', 'Pocari Sweat', 'Big Babol'})"
0.0109,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Big Babol'})"
0.01,"frozenset({'Beng Beng', 'Aqua', 'Big Babol'})"
0.0106,"frozenset({'Beng Beng', 'Aqua', 'Biskuat'})"
0.0104,"frozenset({'Beng Beng', 'Aqua', 'Pocari Sweat'})"
0.0103,"frozenset({'Beng Beng', 'Aqua', 'Gula Pasir'})"
0.0108,"frozenset({'Beng Beng', 'Aqua', 'Indomie Goreng'})"
0.0105,"frozenset({'Beng Beng', 'Aqua', 'Teh Kotak'})"
0.0101,"frozenset({'Beng Beng', 'Aqua', 'Kapal Api'})"
0.0101,"frozenset({'Beng Beng', 'Aqua', 'Torabika'})"
0.0108,"frozenset({'Beng Beng', 'Aqua', 'Sukro'})"
0.01,"frozenset({'Beng Beng', 'Indomie Goreng', 'Kapal Api'})"
0.0106,"frozenset({'Beng Beng', 'Teh Kotak', 'Kapal Api'})"
0.0103,"frozenset({'Beng Beng', 'Lifebuoy', 'Kapal Api'})"
0.0102,"frozenset({'Beng Beng', 'Beras', 'Kapal Api'})"
0.0101,"frozenset({'Beng Beng', 'Biskuat', 'Kapal Api'})"
0.0109,"frozenset({'Beng Beng', 'Pocari Sweat', 'Kapal Api'})"
0.0102,"frozenset({'Beng Beng', 'Kwaci', 'Kapal Api'})"
0.0104,"frozenset({'Beng Beng', 'Sukro', 'Kapal Api'})"
0.0102,"frozenset({'Beng Beng', 'Sun Light Jeruk Nipis', 'Good Day'})"
0.0101,"frozenset({'Beng Beng', 'Momogi', 'Sun Light Jeruk Nipis'})"
0.0103,"frozenset({'Beng Beng', 'Sun Light Jeruk Nipis', 'Tango'})"
0.0121,"frozenset({'Beng Beng', 'Sun Light Jeruk Nipis', 'Gula Pasir'})"
0.0103,"frozenset({'Beng Beng', 'Djarum', 'Sun Light Jeruk Nipis'})"
0.0106,"frozenset({'Beng Beng', 'Torabika', 'Momogi'})"
0.0106,"frozenset({'Beng Beng', 'Momogi', 'Gula Pasir'})"
0.0123,"frozenset({'Beng Beng', 'Momogi', 'Biskuat'})"
0.0102,"frozenset({'Beng Beng', 'Pocari Sweat', 'Momogi'})"
0.0109,"frozenset({'Beng Beng', 'Djarum', 'Lifebuoy'})"
0.0102,"frozenset({'Beng Beng', 'Djarum', 'Biskuat'})"
0.01,"frozenset({'Beng Beng', 'Djarum', 'Pocari Sweat'})"
0.0108,"frozenset({'Beng Beng', 'Indomie Goreng', 'Djarum'})"
0.012,"frozenset({'Beng Beng', 'Djarum', 'Gula Pasir'})"
0.011,"frozenset({'Good Day', 'Beng Beng', 'Mie Gemez'})"
0.0108,"frozenset({'Beng Beng', 'Lifebuoy', 'Mie Gemez'})"
0.01,"frozenset({'Beng Beng', 'Mie Gemez', 'Nabati Keju'})"
0.0111,"frozenset({'Beng Beng', 'Biskuat', 'Mie Gemez'})"
0.011,"frozenset({'Beng Beng', 'Torabika', 'Mie Gemez'})"
0.0103,"frozenset({'Beng Beng', 'Mie Gemez', 'Gula Pasir'})"
0.0104,"frozenset({'Beng Beng', 'Indomie Goreng', 'Mie Gemez'})"
0.011,"frozenset({'Beng Beng', 'Pocari Sweat', 'Mie Gemez'})"
0.0111,"frozenset({'Beng Beng', 'Momogi', 'Yupi'})"
0.011,"frozenset({'Beng Beng', 'Yupi', 'Gula Pasir'})"
0.0119,"frozenset({'Beng Beng', 'Djarum', 'Yupi'})"
0.0101,"frozenset({'Beng Beng', 'Biskuat', 'Yupi'})"
0.01,"frozenset({'Beng Beng', 'Teh Kotak', 'Yupi'})"
0.0109,"frozenset({'Beng Beng', 'Torabika', 'Yupi'})"
0.0107,"frozenset({'Beng Beng', 'Pocari Sweat', 'Yupi'})"
0.0106,"frozenset({'Beng Beng', 'Nabati Keju', 'Yupi'})"
0.0101,"frozenset({'Beng Beng', 'Molto', 'Nabati Keju'})"
0.0113,"frozenset({'Beng Beng', 'Nabati Keju', 'Big Babol'})"
0.0119,"frozenset({'Beng Beng', 'Nabati Keju', 'Gula Pasir'})"
0.0111,"frozenset({'Beng Beng', 'Biskuat', 'Nabati Keju'})"
0.01,"frozenset({'Beng Beng', 'Teh Kotak', 'Nabati Keju'})"
0.011,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Nabati Keju'})"
0.0102,"frozenset({'Beng Beng', 'Good Day', 'Nabati Keju'})"
0.0116,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Yupi'})"
0.0104,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Lifebuoy'})"
0.0116,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Biskuat'})"
0.0104,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Djarum'})"
0.0103,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Momogi'})"
0.0113,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Torabika'})"
0.0103,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Gula Pasir'})"
0.0103,"frozenset({'Beng Beng', 'Indomie Kari Ayam', 'Pocari Sweat'})"
0.052,"frozenset({'Momogi', 'Big Babol'})"
0.0492,"frozenset({'Aqua', 'Big Babol'})"
0.048,"frozenset({'Molto', 'Big Babol'})"
0.0493,"frozenset({'Good Day', 'Big Babol'})"
0.0479,"frozenset({'Indomie Kari Ayam', 'Big Babol'})"
0.048,"frozenset({'Djarum', 'Big Babol'})"
0.0112,"frozenset({'Aqua', 'Momogi', 'Big Babol'})"
0.0103,"frozenset({'Aqua', 'Molto', 'Big Babol'})"
0.0115,"frozenset({'Molto', 'Momogi', 'Big Babol'})"
0.0123,"frozenset({'Molto', 'Djarum', 'Big Babol'})"
0.012,"frozenset({'Molto', 'Good Day', 'Big Babol'})"
0.0131,"frozenset({'Momogi', 'Good Day', 'Big Babol'})"
0.0123,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Big Babol'})"
0.01,"frozenset({'Indomie Kari Ayam', 'Molto', 'Big Babol'})"
0.0118,"frozenset({'Indomie Kari Ayam', 'Momogi', 'Big Babol'})"
0.0107,"frozenset({'Indomie Kari Ayam', 'Good Day', 'Big Babol'})"
0.0122,"frozenset({'Aqua', 'Indomie Kari Ayam', 'Big Babol'})"
0.0102,"frozenset({'Djarum', 'Good Day', 'Big Babol'})"
0.0111,"frozenset({'Djarum', 'Momogi', 'Big Babol'})"
0.0104,"frozenset({'Aqua', 'Djarum', 'Big Babol'})"
0.0499,"frozenset({'Momogi', 'Biskuat'})"
0.0486,"frozenset({'Aqua', 'Biskuat'})"
0.0484,"frozenset({'Biskuat', 'Taro'})"
0.0473,"frozenset({'Biskuat', 'Big Babol'})"
0.0495,"frozenset({'Beras', 'Biskuat'})"
0.0473,"frozenset({'Biskuat', 'Good Day'})"
0.047,"frozenset({'Indomie Kari Ayam', 'Biskuat'})"
0.0442,"frozenset({'Pocari Sweat', 'Biskuat'})"
0.0475,"frozenset({'Molto', 'Biskuat'})"
0.0485,"frozenset({'Djarum', 'Biskuat'})"
0.049,"frozenset({'Biskuat', 'Roma Kelapa'})"
0.0124,"frozenset({'Aqua', 'Momogi', 'Biskuat'})"
0.0115,"frozenset({'Aqua', 'Beras', 'Biskuat'})"
0.0107,"frozenset({'Aqua', 'Biskuat', 'Roma Kelapa'})"
0.0114,"frozenset({'Aqua', 'Biskuat', 'Taro'})"
0.0114,"frozenset({'Momogi', 'Biskuat', 'Taro'})"
0.0115,"frozenset({'Beras', 'Biskuat', 'Taro'})"
0.0125,"frozenset({'Roma Kelapa', 'Biskuat', 'Taro'})"
0.0126,"frozenset({'Djarum', 'Biskuat', 'Taro'})"
0.0125,"frozenset({'Momogi', 'Biskuat', 'Big Babol'})"
0.0118,"frozenset({'Biskuat', 'Taro', 'Big Babol'})"
0.0102,"frozenset({'Molto', 'Biskuat', 'Big Babol'})"
0.0116,"frozenset({'Biskuat', 'Good Day', 'Big Babol'})"
